Souvlaki Greek Traditional Food,mU17Eeit-6smjUsKBVUpFw,Telegraph Ave,Greek,37.8677974,-122.2582955,3,25
Soy,nSRDYvmTTgkJH4-nXzkvrQ,Downtown Berkeley,Vegetarian,37.870491,-122.2666112,3.5,6
Starbucks,L1oN0sjoz_7zMfTaTAXAUg,Downtown Berkeley,Coffee & Tea,37.87026,-122.266175,3.5,72
Stella Nonna Milwaukee Fish Fry,bDfcpkyVlSQUvA57HjDTKQ,UC Campus Area,Caterers,37.86541,-122.262428,4,5
Steve's Bar-B-Que,h-pdNVQY1ekHoVtgJCxIkw,Telegraph Ave,Korean,37.8680531,-122.2580151,3.5,323
Subway,4b8yMxZ5p4KddENZYmjMEg,Telegraph Ave,Sandwiches,37.8686641,-122.2594514,2,33
Sufficient Grounds Coffee,oCHcaAfAGzrkLAo5jee1eA,Telegraph Ave,Bakeries,37.8678328,-122.2599315,4,136
Sun Hong Kong Restaurant,8Xq5VtwYjayKlxEY2PipQA,Telegraph Ave,Chinese,37.86788,-122.2595134,3,140
Sunrise Deli,J27yz2L8PoubYmfi_DWrSA,Telegraph Ave,Middle Eastern,37.8683059,-122.260181,3.5,131
Sushi House,g5S6Q9W0IwN5AEK3fNWzbw,Telegraph Ave,Sushi Bars,37.8680531,-122.2580151,2.5,106
Suya African Caribbean Grill,UZw6rwsRE2mXp0dfHLtHRg,Downtown Berkeley,African,37.8703067,-122.2658652,3.5,27
Sweet On You,Hq4zR0YVibhQM4b9lr7GHg,Telegraph Ave,Specialty Food,37.8688871,-122.2578356,3,7
Sweetheart Cafe,j9tMEV719PzFcc_wp8mzlw,Telegraph Ave,Burgers,37.8681116,-122.2579199,3.5,338
T C Garden Restaurant,wIhtFlx1DdDvYH0fjUAtkg,UC Campus Area,Chinese,37.8752015,-122.2597581,3,71
Taco Truck,5FioG81fXr7DKVqfzN8uyQ,UC Campus Area,Mexican,37.869201,-122.256421,4,19
Tako Sushi,2ciUQ05DREauhBC3xiA4qw,Telegraph Ave,Japanese,37.8671581,-122.2588314,3,304
Taqueria El Tacontento,hibPCAbDkDgeuAzbWt5UAA,UC Campus Area,Mexican,37.8686684,-122.259748,3.5,18
Taqueria Reyes,ipgnAjJ5TUBWGmGxxzoiGQ,UC Campus Area,Mexican,37.8690986,-122.2596091,3.5,3
Telegraph Market,P-GmaUCb1rtVUS9wcIipIA,Telegraph Ave,Grocery,37.8641512,-122.2585667,3,3
Thai Basil Cuisine,h11Hr07ffM-dn-rico0_fA,Telegraph Ave,Thai,37.8680259,-122.2581241,3.5,521
Thai Noodle II,D0bltNaJ-Ak6ejkUUpWDEw,Telegraph Ave,Thai,37.8664181,-122.2588162,3.5,2
The Bear's Lair Brew Pub,s2Wb3UxXVPU9CV0R2shSuA,UC Campus Area,Bars,37.86899272,-122.259872,3.5,173
The Blue Nile,QFJCpzOOEjZRRKLJwvSV4g,Telegraph Ave,Ethiopian,37.8652343,-122.2585922,4,30
The Campus Store,2a-HHv-Z8zhokrBlw34Qqw,UC Campus Area,Convenience Stores,37.8759581,-122.260409,4.5,3
The Coffee Lab,8leHSCn0DCa1ilxfbHuCQA,UC Campus Area,Coffee & Tea,37.8727785,-122.2555912,4,12
The Coffee Spot,oXNxNP6PYopdPQD2fstVpQ,UC Campus Area,Coffee & Tea,37.8690986,-122.2596091,4,50
The Little Dipper Chocolate Company,EAafCOFtOjTDq7WNwHFn7A,Telegraph Ave,Desserts,37.868725,-122.2591719,3.5,3
The Melt Berkeley,fZVvW32FiUCGNckbBjw-qw,Telegraph Ave,American (New),37.8668273,-122.2589718,3,33
The Old Teahouse,2Bz3LDTxy_ol7MKsDQD0ew,Telegraph Ave,Coffee & Tea,37.868035,-122.258216,5,5
The Orchid,o_quL0yAeTyxa7XQZgt0GQ,Telegraph Ave,Restaurants,37.868035,-122.258216,3.5,4
The Pho Bar,ZmYIPv4XQQ2bT4dgl6ezzA,UC Campus Area,Vietnamese,37.8756137,-122.2602704,3,93
The Stuffed Inn,PUK0RoIvq8pgi38FSCg7cQ,UC Campus Area,Sandwiches,37.8756879,-122.26004,4,131
The Sunny Side Cafe,PC-x4Om-XXGqFn0ludTykw,Downtown Berkeley,Breakfast & Brunch,37.8701853,-122.2658691,3.5,175
The Toaster Oven,YxYMAHI215UpbnUM2TeEGw,Telegraph Ave,Sandwiches,37.8684118,-122.2590117,3.5,55
Tivoli Caffe,yNW1FXy0mSMBipgCA6Pmhg,Telegraph Ave,Cafes,37.8688691,-122.2578299,4.5,28
Tofu n Sushi,HfgQtDMNEK2QATbjE3R21g,Telegraph Ave,Korean,37.8679064,-122.2580724,1.5,16
